INTEGRATED ENERGY FLOW DATA,,,,,,,,,,,,,,,,
Metric, Units,Jan, Feb, Mar, Apr, May, Jun, Jul, Aug, Sep, Oct, Nov, Dec, Annual total, ,Description 
system : building : all_zones : supplied_energy : cooling : , GJ,0,0,0,0,0.0488,1.521149,3.021948,2.614385,0.377388,0,0,0,7.58367, , Total amount of cooling supplied to the building (all zones).
system : building : all_zones : supplied_energy : heating : , GJ,15.792103,11.376682,8.550768,4.444477,0.250687,0,0,0,0.021129,3.256782,6.982297,12.286519,62.961444, , Total amount of heat supplied to the building (all zones).
system : building : zone_01 : supplied_energy : cooling : , GJ,0,0,0,0,0.012202,0.381015,0.756486,0.655333,0.094689,0,0,0,1.899725, , Zone net heat extraction 
system : building : zone_01 : supplied_energy : heating : , GJ,3.946926,2.844152,2.138612,1.114082,0.062672,0,0,0,0.005282,0.812799,1.744518,3.071155,15.740197, , Zone net heat injection 
system : building : zone_04 : insolation : total : , GJ,1.270963,1.761901,1.936627,1.585692,1.597212,1.598924,1.694087,1.599774,1.612443,1.46427,0.994221,1.199734,18.315849, , Solar gains admitted through glazing 
system : building : zone_04 : supplied_energy : cooling : , GJ,0,0,0,0,0.036597,1.140134,2.265462,1.959052,0.2827,0,0,0,5.683945, , Zone net heat extraction 
system : building : zone_04 : supplied_energy : heating : , GJ,11.845177,8.532531,6.412156,3.330395,0.188015,0,0,0,0.015847,2.443983,5.237779,9.215364,47.221247, , Zone net heat injection 
system : plant : ideal_hvac_models : HRV : elec_load : , GJ,0.3348,0.3024,0.3348,0.324,0.3348,0.324,0.3348,0.3348,0.324,0.3348,0.324,0.3348,3.942, , Idealized HVAC models: Amount of  electricity  used by  Ventilation/HRV  system
system : plant : ideal_hvac_models : circulation_fans : fuel_use : energy_input : , GJ,0.607464,0.493079,0.468963,0.383021,0.317017,0.348947,0.406762,0.392743,0.313237,0.371208,0.429412,0.53969,5.071545, , Idealized HVAC models: energy used by circulation fans.
system : plant : ideal_hvac_models : circulation_fans : heat_transfer : , GJ,0.607464,0.493079,0.468963,0.383021,0.317017,0.348947,0.406762,0.392743,0.313237,0.371208,0.429412,0.53969,5.071545, , Idealized HVAC models: heat transferred to space by circulation fans.
system : plant : ideal_hvac_models : component_01_furnace : fuel_use : energy_input : heating : , GJ,16.303397,11.676799,8.708394,4.544209,0.2874,0,0,0,0.030863,3.347782,7.088153,12.586846,64.573843, , Idealized HVAC models: Primary energy used by furnace system for heating
system : plant : ideal_hvac_models : component_01_furnace : thermal_output : heating : , GJ,15.491566,11.160175,8.38804,4.359895,0.245916,0,0,0,0.020727,3.194803,6.849419,12.052697,61.763237, , Idealized HVAC models: furnace heating thermal output
system : plant : ideal_hvac_models : component_02_air_source_heat_pump : coil_load : cooling : latent : , GJ,0,0,0,0,0.003695,0.274451,0.661288,0.512288,0.091639,0,0,0,1.543361, , Idealized HVAC models: air_source_heat_pump latent cooling load at coil
system : plant : ideal_hvac_models : component_02_air_source_heat_pump : coil_load : cooling : sensible : , GJ,0,0,0,0,0.05042,1.569992,3.11863,2.697051,0.389935,0,0,0,7.826028, , Idealized HVAC models: air_source_heat_pump sensible cooling load at coil
system : plant : ideal_hvac_models : component_02_air_source_heat_pump : coil_load : cooling : total : , GJ,0,0,0,0,0.054115,1.844443,3.779919,3.209339,0.481574,0,0,0,9.369389, , Idealized HVAC models: air_source_heat_pump total cooling load at coil
system : plant : ideal_hvac_models : component_02_air_source_heat_pump : fuel_use : energy_input : cooling : , GJ,0,0,0,0,0.019281,0.55428,1.100202,0.926119,0.146755,0,0,0,2.746636, , Idealized HVAC models: Primary energy used by air_source_heat_pump system for cooling
system : plant : ideal_hvac_models : component_02_air_source_heat_pump : fuel_use : energy_input : total : , GJ,0,0,0,0,0.019281,0.55428,1.100202,0.926119,0.146755,0,0,0,2.746636, , Idealized HVAC models: Primary energy used by air_source_heat_pump system for both heating and cooling
system : plant : ideal_hvac_models : component_02_air_source_heat_pump : thermal_output : cooling : , GJ,0,0,0,0,0.054115,1.844443,3.779919,3.209339,0.481574,0,0,0,9.369389, , Idealized HVAC models: air_source_heat_pump cooling thermal output
system : total_fuel_use : electricity : all_end_uses : energy_content : , GJ,0.942264,0.795479,0.803763,0.707021,0.671098,1.227227,1.841764,1.653662,0.783992,0.706008,0.753412,0.87449,11.760181, , Energy content of all electricity used on site.
system : total_fuel_use : natural_gas : all_end_uses : energy_content : , GJ,16.303397,11.676799,8.708394,4.544209,0.2874,0,0,0,0.030863,3.347782,7.088153,12.586846,64.573843, , Energy content of all natural gas used on site.


SYSTEM FUEL USE ,,,,,,,,,,,,,,,,
Metric, units, Jan, Feb, Mar, Apr, May, Jun, Jul, Aug, Sep, Oct, Nov, Dec, Annual,,
system : plant : ideal_hvac_models : circulation_fans : fuel_use : electricity : amount : , kWh,168.740278,136.9666,130.267726,106.394794,88.060408,96.929842,112.98953,109.095272,87.010478,103.113479,119.281175,149.91406,1408.763643, , Idealized HVAC models: electricity used by circulation fans.
system : plant : ideal_hvac_models : component_01_furnace : fuel_use : electricity : amount : , kWh,0,0,0,0,0,0,0,0,0,0,0,0,0, , Idealized HVAC models: Amount of electricity used by furnace system
system : plant : ideal_hvac_models : component_01_furnace : fuel_use : natural_gas : amount : , m3,438.450515,314.026494,234.196599,122.208313,7.729118,0,0,0,0.830004,90.032567,190.623115,338.500577,1736.597301, , Idealized HVAC models: Amount of natural gas used by furnace system
