building:all zones:insolation:adverse (W), building:all zones:insolation:total (W), building:all zones:insolation:useful (W), building:all zones:supplied energy:cooling (W), building:all zones:supplied energy:heating (W), building:day number:present (days), building:hour:present (hours), building:month (-), building:time step (-), building:zone 01:air point:temperature (oC), building:zone 01:envelope:infiltration:air changes per hour (ACH), building:zone 01:supplied energy:heating (W), building:zone 01:surface 06:temperature (oC), building:zone 01:surface 16:temperature (oC), building:zone 01:surface 17:temperature (oC), building:zone 01:surface 18:temperature (oC), building:zone 01:surface 19:temperature (oC), building:zone 01:surface 20:temperature (oC), building:zone 01:surface 21:temperature (oC), building:zone 01:surface 22:temperature (oC), building:zone 01:surface 23:temperature (oC), building:zone 01:surface 24:temperature (oC), building:zone 01:surface 25:temperature (oC), building:zone 01:surface 26:temperature (oC), building:zone 01:surface 27:temperature (oC), building:zone 01:surface 28:temperature (oC), building:zone 01:surface 29:temperature (oC), building:zone 01:surface 30:temperature (oC), building:zone 01:surface 31:temperature (oC), building:zone 01:windows:position (-), building:zone 02:air point:temperature (oC), building:zone 02:supplied energy:heating (W), building:zone 02:windows:position (-), building:zone 03:air point:temperature (oC), building:zone 03:supplied energy:heating (W), building:zone 03:windows:position (-), building:zone 04:air point:temperature (oC), building:zone 04:supplied energy:heating (W), building:zone 04:windows:position (-), climate:dry bulb temperature (oC), 
0.0000000, 0.0000000, 0.0000000, 0.0000000, 3946.1704, 365.00000, 24.000000, 1.0000000, 96.000000, 21.000000, 0.069141671, 3946.1704, 19.905396, 19.938459, 19.939144, 19.939293, 19.941519, 19.940472, 19.940250, 19.938618, 19.940664, 19.936562, 19.935415, 19.938822, 19.939442, 19.935722, 19.935570, 19.940283, 19.940714, 0.0000000, 20.332499, 0.0000000, 0.0000000, -7.9521561, 0.0000000, 0.0000000, -12.956426, 0.0000000, 0.0000000, -14.100000, 
0.0000000, 0.0000000, 0.0000000, 0.0000000, 1051.8428, 1.0000000, 1.0000000, 1.0000000, 97.000000, 21.000000, 0.070979811, 1051.8428, 19.870413, 19.903328, 19.904066, 19.904751, 19.906630, 19.905481, 19.905674, 19.904778, 19.908468, 19.902603, 19.905136, 19.904715, 19.906284, 19.905474, 19.903601, 19.908899, 19.906408, 0.0000000, 20.317852, 0.0000000, 0.0000000, -7.9573145, 0.0000000, 0.0000000, -13.872871, 0.0000000, 0.0000000, -14.800000, 
0.0000000, 0.0000000, 0.0000000, 0.0000000, 4159.2593, 1.0000000, 2.0000000, 1.0000000, 98.000000, 21.000000, 0.073576786, 4159.2593, 19.834175, 19.869146, 19.869911, 19.870424, 19.873556, 19.871428, 19.871645, 19.870937, 19.873116, 19.869440, 19.867586, 19.870277, 19.870951, 19.867676, 19.868126, 19.872446, 19.871941, 0.0000000, 20.290771, 0.0000000, 0.0000000, -7.9774041, 0.0000000, 0.0000000, -14.166326, 0.0000000, 0.0000000, -15.400000, 
0.0000000, 0.0000000, 0.0000000, 0.0000000, 1216.8619, 1.0000000, 3.0000000, 1.0000000, 99.000000, 21.000000, 0.072349742, 1216.8619, 19.805035, 19.839970, 19.840778, 19.841702, 19.844120, 19.842325, 19.842787, 19.842171, 19.845772, 19.840048, 19.841896, 19.841730, 19.843302, 19.842213, 19.840912, 19.846151, 19.843367, 0.0000000, 20.275354, 0.0000000, 0.0000000, -8.0092249, 0.0000000, 0.0000000, -14.623750, 0.0000000, 0.0000000, -15.700000, 
0.0000000, 0.0000000, 0.0000000, 0.0000000, 4272.1372, 1.0000000, 4.0000000, 1.0000000, 100.00000, 21.000000, 0.074472733, 4272.1372, 19.772856, 19.809025, 19.809858, 19.810497, 19.813900, 19.811470, 19.811823, 19.811558, 19.814486, 19.810299, 19.809286, 19.810684, 19.811872, 19.809477, 19.809374, 19.814198, 19.812344, 0.0000000, 20.255299, 0.0000000, 0.0000000, -8.0499792, 0.0000000, 0.0000000, -14.939360, 0.0000000, 0.0000000, -16.000000, 
0.0000000, 0.0000000, 0.0000000, 0.0000000, 1322.7264, 1.0000000, 5.0000000, 1.0000000, 101.00000, 21.000000, 0.073262632, 1322.7264, 19.747406, 19.783756, 19.784620, 19.785591, 19.788624, 19.786266, 19.786852, 19.786831, 19.790688, 19.785250, 19.786608, 19.785940, 19.787693, 19.786905, 19.785709, 19.791014, 19.787531, 0.0000000, 20.242445, 0.0000000, 0.0000000, -8.0986700, 0.0000000, 0.0000000, -15.203025, 0.0000000, 0.0000000, -16.299999, 
0.0000000, 0.0000000, 0.0000000, 0.0000000, 4380.2207, 1.0000000, 6.0000000, 1.0000000, 102.00000, 21.000000, 0.074397884, 4380.2207, 19.721733, 19.759312, 19.760181, 19.760998, 19.764740, 19.761881, 19.762424, 19.762564, 19.765736, 19.761473, 19.760551, 19.761362, 19.762722, 19.760723, 19.760624, 19.765509, 19.762960, 0.0000000, 20.223831, 0.0000000, 0.0000000, -8.1543388, 0.0000000, 0.0000000, -15.661557, 0.0000000, 0.0000000, -16.700001, 
0.0000000, 0.0000000, 0.0000000, 0.0000000, 1411.5347, 1.0000000, 7.0000000, 1.0000000, 103.00000, 21.000000, 0.074397884, 1411.5347, 19.700567, 19.738251, 19.739147, 19.740200, 19.743580, 19.740870, 19.741562, 19.741829, 19.745773, 19.740452, 19.741516, 19.740679, 19.742533, 19.741789, 19.740763, 19.746082, 19.742247, 0.0000000, 20.213005, 0.0000000, 0.0000000, -8.2162104, 0.0000000, 0.0000000, -15.787949, 0.0000000, 0.0000000, -16.700001, 
0.0000000, 366.05212, 274.47717, 0.0000000, 4378.6152, 1.0000000, 8.0000000, 1.0000000, 104.00000, 21.000000, 0.073875450, 4378.6152, 19.714090, 19.752266, 19.753164, 19.754049, 19.757906, 19.754898, 19.755510, 19.755911, 19.759323, 19.754997, 19.754339, 19.754568, 19.756107, 19.754528, 19.754290, 19.759218, 19.756104, 0.0000000, 20.225655, 0.0000000, 0.0000000, -8.2826071, 0.0000000, 0.0000000, -14.671569, 0.0000000, 0.0000000, -15.600000, 
0.0000000, 645.46362, 449.08554, 0.0000000, 1246.8248, 1.0000000, 9.0000000, 1.0000000, 105.00000, 21.000000, 0.075441293, 1246.8248, 19.802858, 19.839724, 19.840572, 19.841557, 19.844841, 19.842169, 19.842854, 19.843281, 19.846930, 19.842196, 19.842978, 19.842087, 19.843813, 19.843210, 19.842356, 19.847183, 19.843489, 0.0000000, 20.270317, 0.0000000, 0.0000000, -8.3486242, 0.0000000, 0.0000000, -11.484750, 0.0000000, 0.0000000, -15.000000, 
