building:all zones:insolation:adverse (W), building:all zones:insolation:total (W), building:all zones:insolation:useful (W), building:all zones:supplied energy:cooling (W), building:all zones:supplied energy:heating (W), building:day number:present (days), building:hour:present (hours), building:month (-), building:time step (-), building:zone 01:air point:temperature (oC), building:zone 01:envelope:infiltration:air changes per hour (ACH), building:zone 01:supplied energy:heating (W), building:zone 01:surface 06:temperature (oC), building:zone 01:surface 16:temperature (oC), building:zone 01:surface 17:temperature (oC), building:zone 01:surface 18:temperature (oC), building:zone 01:surface 19:temperature (oC), building:zone 01:surface 20:temperature (oC), building:zone 01:surface 21:temperature (oC), building:zone 01:surface 22:temperature (oC), building:zone 01:surface 23:temperature (oC), building:zone 01:surface 24:temperature (oC), building:zone 01:surface 25:temperature (oC), building:zone 01:surface 26:temperature (oC), building:zone 01:surface 27:temperature (oC), building:zone 01:surface 28:temperature (oC), building:zone 01:surface 29:temperature (oC), building:zone 01:surface 30:temperature (oC), building:zone 01:surface 31:temperature (oC), building:zone 01:windows:position (-), building:zone 02:air point:temperature (oC), building:zone 02:supplied energy:heating (W), building:zone 02:windows:position (-), building:zone 03:air point:temperature (oC), building:zone 03:supplied energy:heating (W), building:zone 03:windows:position (-), building:zone 04:air point:temperature (oC), building:zone 04:supplied energy:heating (W), building:zone 04:windows:position (-), climate:dry bulb temperature (oC), 
0.0000000, 0.0000000, 0.0000000, 0.0000000, 2440.5093, 365.00000, 24.000000, 1.0000000, 96.000000, 21.000000, 0.069141671, 2440.5093, 20.161095, 20.151527, 20.091591, 20.140440, 20.179222, 20.146517, 20.113598, 20.157957, 20.184820, 20.184340, 20.188583, 20.136988, 20.191849, 20.193077, 20.192535, 20.195969, 20.193083, 0.0000000, 20.505018, 0.0000000, 0.0000000, -8.2079411, 0.0000000, 0.0000000, -13.419792, 0.0000000, 0.0000000, -14.100000, 
0.0000000, 0.0000000, 0.0000000, 0.0000000, 1323.9419, 1.0000000, 1.0000000, 1.0000000, 97.000000, 21.000000, 0.070979811, 1323.9419, 20.138947, 20.126263, 20.082827, 20.121729, 20.140291, 20.123077, 20.103621, 20.122694, 20.159187, 20.166498, 20.162415, 20.115847, 20.170322, 20.170544, 20.170097, 20.173637, 20.170540, 0.0000000, 20.486328, 0.0000000, 0.0000000, -8.2033920, 0.0000000, 0.0000000, -14.330751, 0.0000000, 0.0000000, -14.800000, 
0.0000000, 0.0000000, 0.0000000, 0.0000000, 2560.6570, 1.0000000, 2.0000000, 1.0000000, 98.000000, 21.000000, 0.073576786, 2560.6570, 20.114578, 20.113146, 20.062283, 20.101728, 20.136292, 20.107037, 20.079710, 20.116068, 20.141376, 20.140831, 20.143885, 20.098587, 20.147173, 20.147903, 20.147385, 20.151146, 20.147907, 0.0000000, 20.460840, 0.0000000, 0.0000000, -8.2136612, 0.0000000, 0.0000000, -14.673607, 0.0000000, 0.0000000, -15.400000, 
0.0000000, 0.0000000, 0.0000000, 0.0000000, 1469.7900, 1.0000000, 3.0000000, 1.0000000, 99.000000, 21.000000, 0.072349742, 1469.7900, 20.093630, 20.091604, 20.052691, 20.088774, 20.104973, 20.090002, 20.071278, 20.091642, 20.119017, 20.123375, 20.120607, 20.083307, 20.126583, 20.126570, 20.126110, 20.129879, 20.126566, 0.0000000, 20.441103, 0.0000000, 0.0000000, -8.2372084, 0.0000000, 0.0000000, -15.164913, 0.0000000, 0.0000000, -15.700000, 
0.0000000, 0.0000000, 0.0000000, 0.0000000, 2704.0930, 1.0000000, 4.0000000, 1.0000000, 100.00000, 21.000000, 0.074472733, 2704.0930, 20.067419, 20.073414, 20.033611, 20.066137, 20.092962, 20.070389, 20.049576, 20.077837, 20.097643, 20.095980, 20.098286, 20.064117, 20.100813, 20.101299, 20.100784, 20.104713, 20.101303, 0.0000000, 20.420532, 0.0000000, 0.0000000, -8.2709494, 0.0000000, 0.0000000, -15.485782, 0.0000000, 0.0000000, -16.000000, 
0.0000000, 0.0000000, 0.0000000, 0.0000000, 1585.9601, 1.0000000, 5.0000000, 1.0000000, 101.00000, 21.000000, 0.073262632, 1585.9601, 20.045807, 20.051371, 20.021612, 20.049347, 20.063057, 20.050528, 20.036995, 20.051945, 20.074686, 20.077078, 20.074873, 20.045652, 20.079693, 20.079584, 20.079119, 20.083069, 20.079584, 0.0000000, 20.403862, 0.0000000, 0.0000000, -8.3133802, 0.0000000, 0.0000000, -15.768544, 0.0000000, 0.0000000, -16.299999, 
0.0000000, 0.0000000, 0.0000000, 0.0000000, 2807.2163, 1.0000000, 6.0000000, 1.0000000, 102.00000, 21.000000, 0.074397884, 2807.2163, 20.023211, 20.035515, 20.004196, 20.029982, 20.051962, 20.033466, 20.017227, 20.039671, 20.055914, 20.053728, 20.055479, 20.028473, 20.057598, 20.057827, 20.057327, 20.061377, 20.057829, 0.0000000, 20.386576, 0.0000000, 0.0000000, -8.3630228, 0.0000000, 0.0000000, -16.229357, 0.0000000, 0.0000000, -16.700001, 
0.0000000, 0.0000000, 0.0000000, 0.0000000, 1685.0748, 1.0000000, 7.0000000, 1.0000000, 103.00000, 21.000000, 0.074397884, 1685.0748, 20.003788, 20.016020, 19.992765, 20.015148, 20.026443, 20.016178, 20.005587, 20.017963, 20.035608, 20.036360, 20.034739, 20.012375, 20.038462, 20.038256, 20.037798, 20.041828, 20.038261, 0.0000000, 20.372520, 0.0000000, 0.0000000, -8.4187450, 0.0000000, 0.0000000, -16.373095, 0.0000000, 0.0000000, -16.700001, 
0.0000000, 991.77881, 717.73792, 0.0000000, 2667.4973, 1.0000000, 8.0000000, 1.0000000, 104.00000, 21.000000, 0.073875450, 2667.4973, 20.276155, 20.158859, 20.147697, 20.604113, 20.310007, 20.157852, 20.557266, 20.303371, 21.152994, 20.390568, 20.244677, 20.344170, 20.176044, 20.176132, 20.434019, 20.179358, 20.176136, 0.0000000, 20.427782, 0.0000000, 0.0000000, -8.4793282, 0.0000000, 0.0000000, -15.356057, 0.0000000, 0.0000000, -15.600000, 
0.0000000, 1840.2178, 1364.8180, 0.0000000, 1017.8828, 1.0000000, 9.0000000, 1.0000000, 105.00000, 21.000000, 0.075441293, 1017.8828, 20.759359, 20.582325, 21.225821, 21.087389, 22.741529, 20.625456, 21.783604, 21.945024, 22.787743, 21.121555, 20.667131, 21.413038, 20.813898, 20.597557, 21.005098, 20.670582, 20.597507, 0.0000000, 20.556923, 0.0000000, 0.0000000, -8.5416403, 0.0000000, 0.0000000, -12.429585, 0.0000000, 0.0000000, -15.000000, 
