building:all zones:insolation:adverse (W), building:all zones:insolation:total (W), building:all zones:insolation:useful (W), building:all zones:supplied energy:cooling (W), building:all zones:supplied energy:heating (W), building:day number:present (days), building:hour:present (hours), building:month (-), building:time step (-), building:zone 01:air point:temperature (oC), building:zone 01:envelope:infiltration:air changes per hour (ACH), building:zone 01:supplied energy:heating (W), building:zone 01:surface 06:temperature (oC), building:zone 01:surface 16:temperature (oC), building:zone 01:surface 17:temperature (oC), building:zone 01:surface 18:temperature (oC), building:zone 01:surface 19:temperature (oC), building:zone 01:surface 20:temperature (oC), building:zone 01:surface 21:temperature (oC), building:zone 01:surface 22:temperature (oC), building:zone 01:surface 23:temperature (oC), building:zone 01:surface 24:temperature (oC), building:zone 01:surface 25:temperature (oC), building:zone 01:surface 26:temperature (oC), building:zone 01:surface 27:temperature (oC), building:zone 01:surface 28:temperature (oC), building:zone 01:surface 29:temperature (oC), building:zone 01:surface 30:temperature (oC), building:zone 01:surface 31:temperature (oC), building:zone 01:windows:position (-), building:zone 02:air point:temperature (oC), building:zone 02:supplied energy:heating (W), building:zone 02:windows:position (-), building:zone 03:air point:temperature (oC), building:zone 03:supplied energy:heating (W), building:zone 03:windows:position (-), building:zone 04:air point:temperature (oC), building:zone 04:supplied energy:heating (W), building:zone 04:windows:position (-), climate:dry bulb temperature (oC), 
0.0000000, 0.0000000, 0.0000000, 0.0000000, 3500.6838, 365.00000, 24.000000, 1.0000000, 96.000000, 21.000000, 0.069141671, 3500.6838, 20.160467, 20.186180, 20.186682, 20.186451, 20.189201, 20.187622, 20.186924, 20.186953, 20.186993, 20.185734, 20.182100, 20.185858, 20.186371, 20.181925, 20.184616, 20.186123, 20.187628, 0.0000000, 20.431269, 0.0000000, 0.0000000, -7.9395757, 0.0000000, 0.0000000, -13.431193, 0.0000000, 0.0000000, -14.100000, 
0.0000000, 0.0000000, 0.0000000, 0.0000000, 855.89996, 1.0000000, 1.0000000, 1.0000000, 97.000000, 21.000000, 0.070979811, 855.89996, 20.130444, 20.155687, 20.156221, 20.156528, 20.158491, 20.157225, 20.156994, 20.157230, 20.159254, 20.155741, 20.156452, 20.156372, 20.157749, 20.156353, 20.156673, 20.159277, 20.157896, 0.0000000, 20.418331, 0.0000000, 0.0000000, -7.9447312, 0.0000000, 0.0000000, -14.341370, 0.0000000, 0.0000000, -14.800000, 
0.0000000, 0.0000000, 0.0000000, 0.0000000, 3695.3074, 1.0000000, 2.0000000, 1.0000000, 98.000000, 21.000000, 0.073576786, 3695.3074, 20.097656, 20.124825, 20.125387, 20.125538, 20.128826, 20.126474, 20.126266, 20.126789, 20.127079, 20.125996, 20.122030, 20.125210, 20.125641, 20.121710, 20.124584, 20.125910, 20.126701, 0.0000000, 20.393946, 0.0000000, 0.0000000, -7.9647875, 0.0000000, 0.0000000, -14.682423, 0.0000000, 0.0000000, -15.400000, 
0.0000000, 0.0000000, 0.0000000, 0.0000000, 1004.0656, 1.0000000, 3.0000000, 1.0000000, 99.000000, 21.000000, 0.072349742, 1004.0656, 20.071939, 20.098927, 20.099525, 20.100100, 20.102373, 20.100655, 20.100725, 20.100954, 20.102898, 20.099319, 20.099604, 20.099939, 20.101196, 20.099586, 20.100151, 20.102909, 20.101377, 0.0000000, 20.379900, 0.0000000, 0.0000000, -7.9965711, 0.0000000, 0.0000000, -15.172668, 0.0000000, 0.0000000, -15.700000, 
0.0000000, 0.0000000, 0.0000000, 0.0000000, 3792.9087, 1.0000000, 4.0000000, 1.0000000, 100.00000, 21.000000, 0.074472733, 3792.9087, 20.042824, 20.070927, 20.071539, 20.071833, 20.075029, 20.072720, 20.072687, 20.073196, 20.074492, 20.072409, 20.069927, 20.071802, 20.072680, 20.069803, 20.071449, 20.073858, 20.073269, 0.0000000, 20.362160, 0.0000000, 0.0000000, -8.0372639, 0.0000000, 0.0000000, -15.492504, 0.0000000, 0.0000000, -16.000000, 
0.0000000, 0.0000000, 0.0000000, 0.0000000, 1096.6179, 1.0000000, 5.0000000, 1.0000000, 101.00000, 21.000000, 0.073262632, 1096.6179, 20.019663, 20.047808, 20.048445, 20.049084, 20.051714, 20.049679, 20.049898, 20.050375, 20.052792, 20.049189, 20.049433, 20.049219, 20.050631, 20.049431, 20.049660, 20.052816, 20.050587, 0.0000000, 20.350439, 0.0000000, 0.0000000, -8.0858927, 0.0000000, 0.0000000, -15.774411, 0.0000000, 0.0000000, -16.299999, 
0.0000000, 0.0000000, 0.0000000, 0.0000000, 3889.9314, 1.0000000, 6.0000000, 1.0000000, 102.00000, 21.000000, 0.074397884, 3889.9314, 19.995304, 20.024584, 20.025251, 20.025738, 20.029070, 20.026527, 20.026707, 20.027346, 20.029045, 20.026648, 20.024567, 20.025867, 20.026875, 20.024488, 20.025787, 20.028519, 20.027250, 0.0000000, 20.333769, 0.0000000, 0.0000000, -8.1415081, 0.0000000, 0.0000000, -16.234503, 0.0000000, 0.0000000, -16.700001, 
0.0000000, 0.0000000, 0.0000000, 0.0000000, 1176.5961, 1.0000000, 7.0000000, 1.0000000, 103.00000, 21.000000, 0.074397884, 1176.5961, 19.974756, 20.004080, 20.004765, 20.005495, 20.008337, 20.006073, 20.006432, 20.006987, 20.009615, 20.005915, 20.006119, 20.005764, 20.007215, 20.006166, 20.006247, 20.009693, 20.007088, 0.0000000, 20.323797, 0.0000000, 0.0000000, -8.2032862, 0.0000000, 0.0000000, -16.377674, 0.0000000, 0.0000000, -16.700001, 
0.0000000, 366.05212, 274.47717, 0.0000000, 3882.6365, 1.0000000, 8.0000000, 1.0000000, 104.00000, 21.000000, 0.073875450, 3882.6365, 19.988556, 20.018339, 20.019035, 20.019608, 20.022911, 20.020340, 20.020641, 20.021317, 20.023426, 20.020691, 20.019215, 20.019894, 20.021053, 20.019197, 20.019995, 20.023096, 20.021200, 0.0000000, 20.337738, 0.0000000, 0.0000000, -8.2696180, 0.0000000, 0.0000000, -15.384284, 0.0000000, 0.0000000, -15.600000, 
0.0000000, 645.46362, 449.08554, 0.0000000, 1012.4556, 1.0000000, 9.0000000, 1.0000000, 105.00000, 21.000000, 0.075441293, 1012.4556, 20.077566, 20.106070, 20.106701, 20.107389, 20.110037, 20.107910, 20.108290, 20.108858, 20.111319, 20.108000, 20.108162, 20.107714, 20.109041, 20.108223, 20.108215, 20.111403, 20.108864, 0.0000000, 20.382383, 0.0000000, 0.0000000, -8.3355560, 0.0000000, 0.0000000, -12.513473, 0.0000000, 0.0000000, -15.000000, 
