building:all zones:insolation:adverse (W), building:all zones:insolation:total (W), building:all zones:insolation:useful (W), building:all zones:supplied energy:cooling (W), building:all zones:supplied energy:heating (W), building:day number:present (days), building:hour:present (hours), building:month (-), building:time step (-), building:zone 01:air point:temperature (oC), building:zone 01:envelope:infiltration:air changes per hour (ACH), building:zone 01:supplied energy:heating (W), building:zone 01:surface 06:temperature (oC), building:zone 01:surface 16:temperature (oC), building:zone 01:surface 17:temperature (oC), building:zone 01:surface 18:temperature (oC), building:zone 01:surface 19:temperature (oC), building:zone 01:surface 20:temperature (oC), building:zone 01:surface 21:temperature (oC), building:zone 01:surface 22:temperature (oC), building:zone 01:surface 23:temperature (oC), building:zone 01:surface 24:temperature (oC), building:zone 01:surface 25:temperature (oC), building:zone 01:surface 26:temperature (oC), building:zone 01:surface 27:temperature (oC), building:zone 01:surface 28:temperature (oC), building:zone 01:surface 29:temperature (oC), building:zone 01:surface 30:temperature (oC), building:zone 01:surface 31:temperature (oC), building:zone 01:windows:position (-), building:zone 02:air point:temperature (oC), building:zone 02:supplied energy:heating (W), building:zone 02:windows:position (-), building:zone 03:air point:temperature (oC), building:zone 03:supplied energy:heating (W), building:zone 03:windows:position (-), building:zone 04:air point:temperature (oC), building:zone 04:supplied energy:heating (W), building:zone 04:windows:position (-), climate:dry bulb temperature (oC), 
0.0000000, 0.0000000, 0.0000000, 0.0000000, 3287.3240, 365.00000, 24.000000, 1.0000000, 96.000000, 21.000000, 0.069141671, 3287.3240, 20.156776, 20.157757, 20.112450, 20.147751, 20.176882, 20.151278, 20.129978, 20.159346, 20.182148, 20.178646, 20.181763, 20.142817, 20.184088, 20.183779, 20.183256, 20.186043, 20.183779, 0.0000000, 20.448017, 0.0000000, 0.0000000, -8.1910267, 0.0000000, 0.0000000, -13.426580, 0.0000000, 0.0000000, -14.100000, 
0.0000000, 0.0000000, 0.0000000, 0.0000000, 1056.8108, 1.0000000, 1.0000000, 1.0000000, 97.000000, 21.000000, 0.070979811, 1056.8108, 20.129787, 20.129267, 20.093681, 20.124851, 20.137735, 20.124907, 20.113049, 20.123688, 20.152550, 20.154917, 20.151731, 20.118603, 20.157707, 20.156702, 20.156261, 20.159174, 20.156702, 0.0000000, 20.432917, 0.0000000, 0.0000000, -8.1863031, 0.0000000, 0.0000000, -14.336807, 0.0000000, 0.0000000, -14.800000, 
0.0000000, 0.0000000, 0.0000000, 0.0000000, 3372.2429, 1.0000000, 2.0000000, 1.0000000, 98.000000, 21.000000, 0.073576786, 3372.2429, 20.102835, 20.109865, 20.067322, 20.100727, 20.124966, 20.103701, 20.085739, 20.109087, 20.129890, 20.127195, 20.129126, 20.097378, 20.131926, 20.131531, 20.131002, 20.134129, 20.131535, 0.0000000, 20.409538, 0.0000000, 0.0000000, -8.1963844, 0.0000000, 0.0000000, -14.678871, 0.0000000, 0.0000000, -15.400000, 
0.0000000, 0.0000000, 0.0000000, 0.0000000, 1189.0975, 1.0000000, 3.0000000, 1.0000000, 99.000000, 21.000000, 0.072349742, 1189.0975, 20.078758, 20.085203, 20.054892, 20.082666, 20.094236, 20.082645, 20.071558, 20.083693, 20.105486, 20.106009, 20.104168, 20.077499, 20.108654, 20.107779, 20.107340, 20.110523, 20.107780, 0.0000000, 20.393404, 0.0000000, 0.0000000, -8.2198982, 0.0000000, 0.0000000, -15.169472, 0.0000000, 0.0000000, -15.700000, 
0.0000000, 0.0000000, 0.0000000, 0.0000000, 3532.1814, 1.0000000, 4.0000000, 1.0000000, 100.00000, 21.000000, 0.074472733, 3532.1814, 20.049654, 20.062597, 20.032249, 20.056629, 20.075863, 20.059103, 20.046164, 20.063963, 20.080059, 20.076777, 20.078329, 20.054138, 20.080296, 20.079884, 20.079401, 20.082781, 20.079885, 0.0000000, 20.372948, 0.0000000, 0.0000000, -8.2534943, 0.0000000, 0.0000000, -15.489887, 0.0000000, 0.0000000, -16.000000, 
0.0000000, 0.0000000, 0.0000000, 0.0000000, 1323.9473, 1.0000000, 5.0000000, 1.0000000, 101.00000, 21.000000, 0.073262632, 1323.9473, 20.024427, 20.037127, 20.014105, 20.035362, 20.044981, 20.035578, 20.027800, 20.036297, 20.054239, 20.053854, 20.052219, 20.031759, 20.055910, 20.055128, 20.054688, 20.058146, 20.055128, 0.0000000, 20.358212, 0.0000000, 0.0000000, -8.2958374, 0.0000000, 0.0000000, -15.772086, 0.0000000, 0.0000000, -16.299999, 
0.0000000, 0.0000000, 0.0000000, 0.0000000, 3640.3518, 1.0000000, 6.0000000, 1.0000000, 102.00000, 21.000000, 0.074397884, 3640.3518, 19.999170, 20.016809, 19.992455, 20.012495, 20.028248, 20.014551, 20.004482, 20.018631, 20.031897, 20.028528, 20.029696, 20.010824, 20.031435, 20.030996, 20.030521, 20.034128, 20.030994, 0.0000000, 20.341154, 0.0000000, 0.0000000, -8.3453197, 0.0000000, 0.0000000, -16.232586, 0.0000000, 0.0000000, -16.700001, 
0.0000000, 0.0000000, 0.0000000, 0.0000000, 1425.0684, 1.0000000, 7.0000000, 1.0000000, 103.00000, 21.000000, 0.074397884, 1425.0684, 19.977436, 19.995062, 19.977579, 19.994347, 20.002573, 19.994623, 19.988707, 19.995884, 20.009962, 20.008625, 20.007490, 19.991730, 20.010357, 20.009645, 20.009214, 20.012871, 20.009651, 0.0000000, 20.329416, 0.0000000, 0.0000000, -8.4009018, 0.0000000, 0.0000000, -16.375950, 0.0000000, 0.0000000, -16.700001, 
0.0000000, 747.77649, 541.03101, 0.0000000, 3570.8208, 1.0000000, 8.0000000, 1.0000000, 104.00000, 21.000000, 0.073875450, 3570.8208, 20.178585, 20.099234, 20.090889, 20.432695, 20.212111, 20.098026, 20.398825, 20.206741, 20.844137, 20.271532, 20.162142, 20.237566, 20.110821, 20.110432, 20.303537, 20.113434, 20.110434, 0.0000000, 20.367548, 0.0000000, 0.0000000, -8.4613161, 0.0000000, 0.0000000, -15.358676, 0.0000000, 0.0000000, -15.600000, 
0.0000000, 1393.6117, 1032.5635, 0.0000000, 986.44043, 1.0000000, 9.0000000, 1.0000000, 105.00000, 21.000000, 0.075441293, 986.44043, 20.536894, 20.411840, 20.895382, 20.789682, 22.034115, 20.443974, 21.313429, 21.435169, 22.124483, 20.815426, 20.474417, 21.035080, 20.585035, 20.422018, 20.727440, 20.477537, 20.422018, 0.0000000, 20.462347, 0.0000000, 0.0000000, -8.5234632, 0.0000000, 0.0000000, -12.432134, 0.0000000, 0.0000000, -15.000000, 
0.0000000, 1511.9506, 1117.5118, 0.0000000, 2857.4626, 1.0000000, 10.000000, 1.0000000, 106.00000, 21.000000, 0.074564494, 2857.4626, 20.902452, 20.969791, 21.318459, 21.706905, 22.094879, 21.225525, 21.404942, 22.707359, 21.685064, 21.298794, 21.103279, 21.751566, 21.244707, 20.824804, 20.940105, 20.866095, 20.824808, 0.0000000, 20.565031, 0.0000000, 0.0000000, -8.5785294, 0.0000000, 0.0000000, -8.3145924, 0.0000000, 0.0000000, -14.400000, 
0.0000000, 2130.4253, 1602.4941, 0.0000000, 143.89873, 1.0000000, 11.000000, 1.0000000, 107.00000, 21.000000, 0.072227627, 143.89873, 21.310492, 21.950480, 22.007633, 22.846930, 21.895954, 22.479116, 21.931129, 23.726763, 21.604691, 21.552700, 21.988337, 22.648796, 21.906033, 21.237171, 21.329960, 21.232653, 21.237173, 0.0000000, 20.691214, 0.0000000, 0.0000000, -8.6132917, 0.0000000, 0.0000000, -4.6011615, 0.0000000, 0.0000000, -12.800000, 
0.0000000, 2184.9988, 1672.0398, 0.0000000, 1903.0997, 1.0000000, 12.000000, 1.0000000, 108.00000, 21.000000, 0.071351685, 1903.0997, 21.646799, 22.267185, 23.939196, 22.695072, 22.113529, 23.146151, 23.805016, 23.144331, 22.241110, 21.961294, 21.955687, 23.149923, 21.976912, 21.543716, 21.735235, 21.530838, 21.543713, 0.0000000, 20.802486, 0.0000000, 0.0000000, -8.6194029, 0.0000000, 0.0000000, -3.3796606, 0.0000000, 0.0000000, -12.200000, 
0.0000000, 2009.6383, 1571.8407, 0.0000000, 0.0000000, 1.0000000, 13.000000, 1.0000000, 109.00000, 21.379143, 0.068036020, 0.0000000, 21.881170, 23.380615, 23.523216, 22.331144, 22.386360, 22.590446, 24.380104, 21.885359, 22.045391, 22.066158, 21.674721, 22.944189, 21.736956, 21.735027, 21.833872, 21.725212, 21.735027, 0.0000000, 20.990522, 0.0000000, 0.0000000, -8.5956450, 0.0000000, 0.0000000, -3.5843375, 0.0000000, 0.0000000, -11.100000, 
