building:all zones:insolation:adverse (W), building:all zones:insolation:total (W), building:all zones:insolation:useful (W), building:all zones:supplied energy:cooling (W), building:all zones:supplied energy:heating (W), building:day number:present (days), building:hour:present (hours), building:month (-), building:time step (-), building:zone 01:air point:temperature (oC), building:zone 01:envelope:infiltration:air changes per hour (ACH), building:zone 01:supplied energy:heating (W), building:zone 01:surface 06:temperature (oC), building:zone 01:surface 16:temperature (oC), building:zone 01:surface 17:temperature (oC), building:zone 01:surface 18:temperature (oC), building:zone 01:surface 19:temperature (oC), building:zone 01:surface 20:temperature (oC), building:zone 01:surface 21:temperature (oC), building:zone 01:surface 22:temperature (oC), building:zone 01:surface 23:temperature (oC), building:zone 01:surface 24:temperature (oC), building:zone 01:surface 25:temperature (oC), building:zone 01:surface 26:temperature (oC), building:zone 01:surface 27:temperature (oC), building:zone 01:surface 28:temperature (oC), building:zone 01:surface 29:temperature (oC), building:zone 01:surface 30:temperature (oC), building:zone 01:surface 31:temperature (oC), building:zone 01:windows:position (-), building:zone 02:air point:temperature (oC), building:zone 02:supplied energy:heating (W), building:zone 02:windows:position (-), building:zone 03:air point:temperature (oC), building:zone 03:supplied energy:heating (W), building:zone 03:windows:position (-), building:zone 04:air point:temperature (oC), building:zone 04:supplied energy:heating (W), building:zone 04:windows:position (-), climate:dry bulb temperature (oC), 
0.0000000, 0.0000000, 0.0000000, 0.0000000, 2532.3022, 365.00000, 24.000000, 1.0000000, 96.000000, 21.000000, 0.069141671, 2532.3022, 20.206064, 20.269039, 20.261797, 20.264807, 20.277121, 20.267847, 20.268923, 20.269320, 20.278074, 20.275059, 20.276289, 20.265236, 20.277304, 20.277786, 20.277279, 20.280018, 20.277782, 0.0000000, 20.515205, 0.0000000, 0.0000000, -8.2077894, 0.0000000, 0.0000000, -13.419212, 0.0000000, 0.0000000, -14.100000, 
0.0000000, 0.0000000, 0.0000000, 0.0000000, 1152.1736, 1.0000000, 1.0000000, 1.0000000, 97.000000, 21.000000, 0.070979811, 1152.1736, 20.173164, 20.226871, 20.221647, 20.223757, 20.234119, 20.226391, 20.228859, 20.226980, 20.236370, 20.233898, 20.234324, 20.224068, 20.235743, 20.236132, 20.235630, 20.238535, 20.236139, 0.0000000, 20.497066, 0.0000000, 0.0000000, -8.2030363, 0.0000000, 0.0000000, -14.329743, 0.0000000, 0.0000000, -14.800000, 
0.0000000, 0.0000000, 0.0000000, 0.0000000, 2662.1909, 1.0000000, 2.0000000, 1.0000000, 98.000000, 21.000000, 0.073576786, 2662.1909, 20.141724, 20.190081, 20.183920, 20.186550, 20.197880, 20.189348, 20.190891, 20.190605, 20.199360, 20.196301, 20.197189, 20.187075, 20.198332, 20.198702, 20.198187, 20.201254, 20.198698, 0.0000000, 20.471666, 0.0000000, 0.0000000, -8.2131100, 0.0000000, 0.0000000, -14.672393, 0.0000000, 0.0000000, -15.400000, 
0.0000000, 0.0000000, 0.0000000, 0.0000000, 1305.8752, 1.0000000, 3.0000000, 1.0000000, 99.000000, 21.000000, 0.072349742, 1305.8752, 20.115517, 20.155052, 20.150064, 20.152306, 20.162460, 20.154806, 20.156902, 20.155722, 20.164589, 20.161728, 20.162228, 20.152735, 20.163544, 20.163832, 20.163317, 20.166531, 20.163830, 0.0000000, 20.452692, 0.0000000, 0.0000000, -8.2365227, 0.0000000, 0.0000000, -15.163543, 0.0000000, 0.0000000, -15.700000, 
0.0000000, 0.0000000, 0.0000000, 0.0000000, 2811.7693, 1.0000000, 4.0000000, 1.0000000, 100.00000, 21.000000, 0.074472733, 2811.7693, 20.084631, 20.122858, 20.117649, 20.120108, 20.130537, 20.122648, 20.124247, 20.123913, 20.132336, 20.129131, 20.129831, 20.120659, 20.131002, 20.131241, 20.130726, 20.134087, 20.131245, 0.0000000, 20.432447, 0.0000000, 0.0000000, -8.2701263, 0.0000000, 0.0000000, -15.484358, 0.0000000, 0.0000000, -16.000000, 
0.0000000, 0.0000000, 0.0000000, 0.0000000, 1426.6338, 1.0000000, 5.0000000, 1.0000000, 101.00000, 21.000000, 0.073262632, 1426.6338, 20.059605, 20.091909, 20.087414, 20.089663, 20.099400, 20.092012, 20.093855, 20.093163, 20.101509, 20.098341, 20.098839, 20.090181, 20.100080, 20.100266, 20.099745, 20.103241, 20.100267, 0.0000000, 20.416636, 0.0000000, 0.0000000, -8.3124743, 0.0000000, 0.0000000, -15.767115, 0.0000000, 0.0000000, -16.299999, 
0.0000000, 0.0000000, 0.0000000, 0.0000000, 2918.4272, 1.0000000, 6.0000000, 1.0000000, 102.00000, 21.000000, 0.074397884, 2918.4272, 20.034479, 20.063387, 20.058958, 20.061291, 20.071003, 20.063604, 20.065203, 20.064955, 20.072987, 20.069593, 20.070177, 20.061869, 20.071329, 20.071468, 20.070946, 20.074575, 20.071466, 0.0000000, 20.399660, 0.0000000, 0.0000000, -8.3620224, 0.0000000, 0.0000000, -16.227955, 0.0000000, 0.0000000, -16.700001, 
0.0000000, 0.0000000, 0.0000000, 0.0000000, 1528.7552, 1.0000000, 7.0000000, 1.0000000, 103.00000, 21.000000, 0.074397884, 1528.7552, 20.012875, 20.036367, 20.032429, 20.034632, 20.043882, 20.036814, 20.038527, 20.038145, 20.046040, 20.042604, 20.043081, 20.035212, 20.044258, 20.044346, 20.043823, 20.047588, 20.044355, 0.0000000, 20.386238, 0.0000000, 0.0000000, -8.4176903, 0.0000000, 0.0000000, -16.371765, 0.0000000, 0.0000000, -16.700001, 
0.0000000, 991.77881, 717.73792, 0.0000000, 2790.8855, 1.0000000, 8.0000000, 1.0000000, 104.00000, 21.000000, 0.073875450, 2790.8855, 20.269346, 20.110714, 20.115322, 20.416010, 20.212471, 20.111177, 20.393858, 20.208740, 20.789696, 20.265493, 20.165241, 20.239534, 20.118238, 20.118311, 20.294600, 20.121500, 20.118313, 0.0000000, 20.440569, 0.0000000, 0.0000000, -8.4782162, 0.0000000, 0.0000000, -15.354800, 0.0000000, 0.0000000, -15.600000, 
0.0000000, 1840.2178, 1364.8180, 0.0000000, 909.39789, 1.0000000, 9.0000000, 1.0000000, 105.00000, 21.000000, 0.075441293, 909.39789, 20.695438, 20.348597, 20.796875, 20.707779, 21.834005, 20.378675, 21.190025, 21.287062, 21.942318, 20.721077, 20.406199, 20.924091, 20.503551, 20.355436, 20.643167, 20.407040, 20.355438, 0.0000000, 20.557203, 0.0000000, 0.0000000, -8.5404806, 0.0000000, 0.0000000, -12.428350, 0.0000000, 0.0000000, -15.000000, 
