Scenario ,ID,Fuel,Opt-geometry,Opt-ACH,Opt-Ceilings,Opt-GenericWall_1Layer_definitions,Opt-BasementConfiguration,Opt-ExposedFloor,Opt-CasementWindows,Opt-GhgHeatingCooling ,Opt-DHWSystem,Opt-HRVspec
Baseline,CA_Pre-1946_Gas,Gas,Pre-1946,retro_ACH_10, CeilR20 , Generic_Wall_R-07-eff ,GHG-bsm-1-RSI_0.66,BaseExpFloor-R31,Upgrade-U-2_0,oee-gas-ref,oee-gasdhw1-ref,ghg-exh-fan
Baseline,CA_Pre-1946_Elect,Elect,Pre-1946,retro_ACH_10.3, CeilR20 , Generic_Wall_R-09-eff ,GHG-bsm-2-RSI_0.68,BaseExpFloor-R31,Upgrade-U-2_0,oee-elec-ref,oee-elecstorage-ref,ghg-exh-fan
Baseline,CA_Pre-1946_Oil,Oil,Pre-1946,retro_ACH_10, CeilR20 , Generic_Wall_R-08-eff ,GHG-bsm-3-RSI_0.58,BaseExpFloor-R31,Upgrade-U-2_0,oee-oil-ref,oee-oildhw-ref,ghg-exh-fan
Baseline,CA_1946-1983_Gas,Gas,1946-1983,retro_ACH_6.2, CeilR30 , Generic_Wall_R-11-eff ,GHG-bsm-4-RSI_0.83,BaseExpFloor-R31,Upgrade-U-2_0,oee-gas-ref,oee-gasdhw1-ref,ghg-exh-fan
Baseline,CA_1946-1983_Elect,Elect,1946-1983,retro_ACH_6.1, CeilR30 , Generic_Wall_R-12-eff ,GHG-bsm-5-RSI_0.86,BaseExpFloor-R31,Upgrade-U-2_0,oee-elec-ref,oee-elecstorage-ref,ghg-exh-fan
Baseline,CA_1946-1983_Oil,Oil,1946-1983,retro_ACH_6.3, CeilR30 , Generic_Wall_R-11-eff ,GHG-bsm-6-RSI_0.77,BaseExpFloor-R31,Upgrade-U-2_0,oee-oil-ref,oee-oildhw-ref,ghg-exh-fan
Baseline,CA_1984-1995_Gas,Gas,1984-1995,retro_ACH_4.4, CeilR30 , Generic_Wall_R-14-eff ,GHG-bsm-7-RSI_1.66,BaseExpFloor-R31,Upgrade-U-2_0,oee-gas-ref,oee-gasdhw1-ref,ghg-exh-fan
Baseline,CA_1984-1995_Elect,Elect,1984-1995,retro_ACH_4.1, CeilR30 , Generic_Wall_R-15-eff ,GHG-bsm-8-RSI_1.66,BaseExpFloor-R31,Upgrade-U-2_0,oee-elec-ref,oee-elecstorage-ref,ghg-exh-fan
Baseline,CA_1984-1995_Oil,Oil,1984-1995,retro_ACH_4.9, CeilR30 , Generic_Wall_R-14-eff ,GHG-bsm-9-RSI_1.53,BaseExpFloor-R31,Upgrade-U-2_0,oee-oil-ref,oee-oildhw-ref,ghg-exh-fan
Baseline,CA_1996-2005_Gas,Gas,1996-2005,retro_ACH_3.2, CeilR40 , Generic_Wall_R-15-eff ,GHG-bsm-10-RSI_1.72,BaseExpFloor-R31,Upgrade-U-2_0,oee-gas-ref,oee-gasdhw1-ref,ghg-exh-fan
Baseline,CA_1996-2005_Elect,Elect,1996-2005,retro_ACH_3.1, CeilR40 , Generic_Wall_R-16-eff ,GHG-bsm-11-RSI_1.67,BaseExpFloor-R31,Upgrade-U-2_0,oee-elec-ref,oee-elecstorage-ref,ghg-hrv-55sre
Baseline,CA_1996-2005_Oil,Oil,1996-2005,retro_ACH_3.4, CeilR40 , Generic_Wall_R-16-eff ,GHG-bsm-12-RSI_1.69,BaseExpFloor-R31,Upgrade-U-2_0,oee-oil-ref,oee-oildhw-ref,ghg-hrv-55sre
Baseline,CA_2006-2011_Gas,Gas,2006-2011,retro_ACH_2.6, CeilR40 , Generic_Wall_R-15-eff ,GHG-bsm-13-RSI_1.75,BaseExpFloor-R31,Upgrade-U-2_0,oee-gas-ref,oee-gasdhw1-ref,ghg-hrv-55sre
Baseline,CA_2006-2011_Elect,Elect,2006-2011,retro_ACH_2.5, CeilR40 , Generic_Wall_R-16-eff ,GHG-bsm-14-RSI_1.8,BaseExpFloor-R31,Upgrade-U-2_0,oee-elec-ref,oee-elecstorage-ref,ghg-hrv-55sre
Baseline,CA_2006-2011_Oil,Oil,2006-2011,retro_ACH_2.4, CeilR40 , Generic_Wall_R-16-eff ,GHG-bsm-15-RSI_1.98,BaseExpFloor-R31,Upgrade-U-2_0,oee-oil-ref,oee-oildhw-ref,ghg-hrv-55sre
Baseline,CA_2012-2019_Gas,Gas,2012-2019,retro_ACH_2.4, CeilR50 , Generic_Wall_R-17-eff ,GHG-bsm-16-RSI_2.95,BaseExpFloor-R31,Upgrade-U-2_0,oee-gas-ref,oee-gasdhw1-ref,ghg-hrv-55sre
Baseline,CA_2012-2019_Elect,Elect,2012-2019,retro_ACH_2.4, CeilR50 , Generic_Wall_R-17-eff ,GHG-bsm-17-RSI_2.95,BaseExpFloor-R31,Upgrade-U-2_0,oee-elec-ref,oee-elecstorage-ref,ghg-hrv-55sre
Baseline,CA_2012-2019_Oil,Oil,2012-2019,retro_ACH_2.4, CeilR50 , Generic_Wall_R-17-eff ,GHG-bsm-18-RSI_2.95,BaseExpFloor-R31,Upgrade-U-2_0,oee-oil-ref,oee-oildhw-ref,ghg-hrv-55sre
