Scenario ,ID,Fuel,Opt-geometry,Opt-ACH,ACH,Opt-Ceilings,Opt-GenericWall_1Layer_definitions,Opt-BasementConfiguration,Opt-ExposedFloor,Opt-CasementWindows,Opt-GhgHeatingCooling ,Opt-DHWSystem,Opt-HRVspec
Baseline,CA_1946-1983_Gas,Gas,1946-1983,retro_ACH_6.2,6.2, CeilR30 , Generic_Wall_R-11-eff ,GHG-bsm-4-RSI_0.83,BaseExpFloor-R31,win-Canada-1946-1983-Gas,ghg-hvac-4-Gas,1946-1983-Gas-dhw,ghg-exh-fan
Baseline,CA_1946-1983_Elect,Electricity,1946-1983,retro_ACH_6.1,6.1, CeilR30 , Generic_Wall_R-12-eff ,GHG-bsm-5-RSI_0.86,BaseExpFloor-R31,win-Canada-1946-1983-Elect,ghg-hvac-5-Elect,1946-1983-Elect-dhw,ghg-exh-fan
Baseline,CA_1946-1983_Oil,Oil,1946-1983,retro_ACH_6.3,6.3, CeilR30 , Generic_Wall_R-11-eff ,GHG-bsm-6-RSI_0.77,BaseExpFloor-R31,win-Canada-1946-1983-Oil,ghg-hvac-6-Oil,1946-1983-Oil-dhw,ghg-exh-fan
Baseline,CA_1984-1995_Gas,Gas,1984-1995,retro_ACH_4.4,4.4, CeilR30 , Generic_Wall_R-14-eff ,GHG-bsm-7-RSI_1.66,BaseExpFloor-R31,win-Canada-1984-1995-Gas,ghg-hvac-7-Gas,1984-1995-Gas-dhw,ghg-exh-fan
Baseline,CA_1984-1995_Elect,Electricity,1984-1995,retro_ACH_4.1,4.1, CeilR30 , Generic_Wall_R-15-eff ,GHG-bsm-8-RSI_1.66,BaseExpFloor-R31,win-Canada-1984-1995-Elect,ghg-hvac-8-Elect,1984-1995-Elect-dhw,ghg-exh-fan
Baseline,CA_1984-1995_Oil,Oil,1984-1995,retro_ACH_4.9,4.9, CeilR30 , Generic_Wall_R-14-eff ,GHG-bsm-9-RSI_1.53,BaseExpFloor-R31,win-Canada-1984-1995-Oil,ghg-hvac-9-Oil,1984-1995-Oil-dhw,ghg-exh-fan
Baseline,CA_1996-2005_Gas,Gas,1996-2005,retro_ACH_3.2,3.2, CeilR40 , Generic_Wall_R-15-eff ,GHG-bsm-10-RSI_1.72,BaseExpFloor-R31,win-Canada-1996-2005-Gas,ghg-hvac-10-Gas,1996-2005-Gas-dhw,ghg-exh-fan
Baseline,CA_1996-2005_Elect,Electricity,1996-2005,retro_ACH_3.1,3.1, CeilR40 , Generic_Wall_R-16-eff ,GHG-bsm-11-RSI_1.67,BaseExpFloor-R31,win-Canada-1996-2005-Elect,ghg-hvac-11-Elect,1996-2005-Elect-dhw,ghg-hrv-55sre
Baseline,CA_1996-2005_Oil,Oil,1996-2005,retro_ACH_3.4,3.4, CeilR40 , Generic_Wall_R-16-eff ,GHG-bsm-12-RSI_1.69,BaseExpFloor-R31,win-Canada-1996-2005-Oil,ghg-hvac-12-Oil,1996-2005-Oil-dhw,ghg-hrv-55sre
Baseline,CA_2006-2011_Gas,Gas,2006-2011,retro_ACH_2.6,2.6, CeilR40 , Generic_Wall_R-15-eff ,GHG-bsm-13-RSI_1.75,BaseExpFloor-R31,win-Canada-2006-2011-Gas,ghg-hvac-13-Gas,2006-2011-Gas-dhw,ghg-hrv-55sre
Baseline,CA_2006-2011_Elect,Electricity,2006-2011,retro_ACH_2.5,2.5, CeilR40 , Generic_Wall_R-16-eff ,GHG-bsm-14-RSI_1.8,BaseExpFloor-R31,win-Canada-2006-2011-Elect,ghg-hvac-14-Elect,2006-2011-Elect-dhw,ghg-hrv-55sre
Baseline,CA_2006-2011_Oil,Oil,2006-2011,retro_ACH_2.4,2.4, CeilR40 , Generic_Wall_R-16-eff ,GHG-bsm-15-RSI_1.98,BaseExpFloor-R31,win-Canada-2006-2011-Oil,ghg-hvac-15-Oil,2006-2011-Oil-dhw,ghg-hrv-55sre
